iso_alpha3,country,state,district,region_type,population,whostandard,natstandard,pm2.5_2020,lyl_rel_to_who_2020,lyl_rel_to_nat_stan_2020,lml_rel_to_who_2020,lml_rel_to_nat_stan_2020,ldl_rel_to_who_stan_2020,ldl_rel_to_nat_stan_2020
IND,India,Kerala,Kollam,Predominantly Urban,2604096,5,40,15.09792,0.98959619,0,11.88,0,361.2,0
IND,India,Kerala,Kannur,Predominantly Urban,2370850,5,40,15.25417,1.0049087,0,12.06,0,366.79,0
IND,India,Arunachal Pradesh,Namsai,Predominantly Rural,82777,5,40,15.254491,1.0049402,0,12.06,0,366.8,0
IND,India,Arunachal Pradesh,Changlang,Predominantly Rural,168472,5,40,15.582513,1.0370862,0,12.45,0,378.54,0
IND,India,Kerala,Pathanamthitta,Predominantly Rural,1274497,5,40,15.903557,1.0685486,0,12.82,0,390.02,0
IND,India,Karnataka,Dakshina Kannada,Predominantly Urban,2246541,5,40,16.413458,1.1185189,0,13.42,0,408.26,0
IND,India,Kerala,Thrissur,Predominantly Urban,3013604,5,40,16.637983,1.1405225,0,13.69,0,416.29,0
IND,India,Arunachal Pradesh,East Kameng,Predominantly Rural,60939,5,40,16.728666,1.1494093,0,13.79,0,419.53,0
IND,India,Arunachal Pradesh,West Kameng,Predominantly Rural,125101,5,40,16.753864,1.1518787,0,13.82,0,420.44,0
IND,India,Kerala,Malappuram,Predominantly Urban,4027957,5,40,17.410864,1.2162647,0,14.6,0,443.94,0
IND,India,Kerala,Thiruvananthapuram,Predominantly Urban,3189011,5,40,17.784575,1.2528883,0,15.03,0,457.3,0
IND,India,Karnataka,Udupi,Predominantly Rural,1263371,5,40,18.307713,1.3041558,0,15.65,0,476.02,0
IND,India,Kerala,Kottayam,Predominantly Rural,1942519,5,40,18.66712,1.3393779,0,16.07,0,488.87,0
IND,India,Karnataka,Chikmagalur,Predominantly Rural,1210777,5,40,18.781597,1.3505965,0,16.21,0,492.97,0
IND,India,Kerala,Kozhikode,Predominantly Urban,3041638,5,40,19.192684,1.3908831,0,16.69,0,507.67,0
IND,India,Karnataka,Hassan,Predominantly Rural,1898894,5,40,19.204943,1.3920844000000001,0,16.71,0,508.11,0
IND,India,Arunachal Pradesh,Papum Pare,Predominantly Urban,145957,5,40,19.212952,1.3928694,0,16.71,0,508.4,0
IND,India,Tamil Nadu,Kanniyakumari,Predominantly Urban,1994420,5,40,19.214951,1.3930651,0,16.72,0,508.47,0
IND,India,Kerala,Alappuzha,Predominantly Urban,2093295,5,40,19.540627,1.4249814,0,17.1,0,520.12,0
IND,India,Assam,Tinsukia,Predominantly Rural,1410423,5,40,19.679384,1.4385797,0,17.26,0,525.08,0
IND,India,Karnataka,Shivamogga,Predominantly Rural,1668135,5,40,19.80431,1.4508224,0,17.41,0,529.55,0
IND,India,Assam,Dhemaji,Predominantly Rural,640023,5,40,19.901127,1.4603105,0,17.52,0,533.01,0
IND,India,Kerala,Ernakulam,Predominantly Urban,3261280,5,40,20.019596,1.4719205,0,17.66,0,537.25,0
IND,India,Tamil Nadu,Theni,Predominantly Urban,1345892,5,40,20.353184,1.504612,0,18.06,0,549.18,0
IND,India,Himachal Pradesh,Lahul & Spiti,Predominantly Rural,32979,5,40,21.074072,1.575259,0,18.9,0,574.97,0
IND,India,Arunachal Pradesh,Tirap,Predominantly Rural,75836,5,40,21.402853,1.6074796,0,19.29,0,586.73,0
IND,India,Andaman and Nicobar,South Andaman,Predominantly Urban,240117,5,40,21.41419,1.6085907,0,19.3,0,587.14,0
IND,India,Andaman and Nicobar,North & Middle Andaman,Predominantly Rural,107802,5,40,21.528074,1.6197513,0,19.44,0,591.21,0
IND,India,Nagaland,Kiphire,Predominantly Rural,69351,5,40,21.565157,1.6233853,0,19.48,0,592.54,0
IND,India,Arunachal Pradesh,Longding,Predominantly Rural,53728,5,40,21.809366,1.6473179,0,19.77,0,601.27,0
IND,India,Nagaland,Tuensang,Predominantly Rural,168435,5,40,21.827187,1.6490643,0,19.79,0,601.91,0
IND,India,Karnataka,Mysore,Predominantly Urban,3191921,5,40,21.857016,1.6519876,0,19.82,0,602.98,0
IND,India,Karnataka,Haveri,Predominantly Rural,1700492,5,40,21.908716,1.6570542,0,19.88,0,604.82,0
IND,India,Tamil Nadu,Tirunelveli,Predominantly Urban,3169188,5,40,21.979168,1.6639584,0,19.97,0,607.34,0
IND,India,Puducherry,Karaikal,Predominantly Urban,275525,5,40,21.990057,1.6650256,0,19.98,0,607.73,0
IND,India,Himachal Pradesh,Kinnaur,Predominantly Rural,88682,5,40,22.067207,1.6725863,0,20.07,0,610.49,0
IND,India,Jammu and Kashmir,Kishtwar,Predominantly Rural,247037,5,40,22.109394,1.6767207,0,20.12,0,612,0
IND,India,Assam,Lakhimpur,Predominantly Rural,1268061,5,40,22.25338,1.6908313,0,20.29,0,617.15,0
IND,India,Tamil Nadu,Coimbatore,Predominantly Urban,3286592,5,40,22.277893,1.6932335,0,20.32,0,618.03,0
IND,India,Manipur,Ukhrul,Predominantly Rural,199862,5,40,22.521666,1.7171233,0,20.61,0,626.75,0
IND,India,Karnataka,Uttara Kannada,Predominantly Rural,1539021,5,40,22.590492,1.7238683,0,20.69,0,629.21,0
IND,India,Tamil Nadu,Nagappattinam,Predominantly Rural,1659552,5,40,22.722404,1.7367957,0,20.84,0,633.93,0
IND,India,Nagaland,Phek,Predominantly Rural,146130,5,40,22.731325,1.7376698,0,20.85,0,634.25,0
IND,India,Tamil Nadu,Ariyalur,Predominantly Rural,805087,5,40,22.962639,1.7603385,0,21.12,0,642.52,0
IND,India,Karnataka,Chamrajnagar,Predominantly Rural,1094938,5,40,22.983145,1.7623482,0,21.15,0,643.26,0
IND,India,Jammu and Kashmir,Ganderbal,Predominantly Rural,616325,5,40,23.002565,1.7642514,0,21.17,0,643.95,0
IND,India,Assam,Dibrugarh,Predominantly Rural,1427102,5,40,23.01436,1.7654074,0,21.18,0,644.37,0
IND,India,Himachal Pradesh,Kullu,Predominantly Rural,474958,5,40,23.042925,1.7682066,0,21.22,0,645.4,0
IND,India,Tamil Nadu,Ramanathapuram,Predominantly Rural,1466958,5,40,23.067886,1.7706528,0,21.25,0,646.29,0
IND,India,Jammu and Kashmir,Bandipore,Predominantly Rural,308845,5,40,23.098213,1.7736249,0,21.28,0,647.37,0
IND,India,Tamil Nadu,Pudukkottai,Predominantly Rural,1795532,5,40,23.174707,1.7811213,0,21.37,0,650.11,0
IND,India,Andhra Pradesh,Chittoor,Predominantly Rural,4338421,5,40,23.21162,1.7847388,0,21.42,0,651.43,0
IND,India,Karnataka,Davanagere,Predominantly Rural,2277907,5,40,23.237471,1.7872721,0,21.45,0,652.35,0
IND,India,Nagaland,Zunheboto,Predominantly Rural,154520,5,40,23.31678,1.7950444,0,21.54,0,655.19,0
IND,India,Uttarakhand,Pithoragarh,Predominantly Rural,544226,5,40,23.348103,1.7981141,0,21.58,0,656.31,0
IND,India,Tamil Nadu,Perambalur,Predominantly Rural,574109,5,40,23.513754,1.814348,0,21.77,0,662.24,0
IND,India,Tamil Nadu,Thoothukudi,Predominantly Urban,1974339,5,40,23.520378,1.8149971,0,21.78,0,662.47,0
IND,India,Tamil Nadu,Sivaganga,Predominantly Rural,1416568,5,40,23.523481,1.8153013,0,21.78,0,662.58,0
IND,India,Karnataka,Dharwad,Predominantly Urban,1980208,5,40,23.594301,1.8222414,0,21.87,0,665.12,0
IND,India,Uttarakhand,Almora,Predominantly Rural,666778,5,40,23.642626,1.8269773,0,21.92,0,666.85,0
IND,India,Tamil Nadu,Cuddalore,Predominantly Rural,2847626,5,40,23.65098,1.827796,0,21.93,0,667.15,0
IND,India,Gujarat,Gir Somnath,Predominantly Rural,1156818,5,40,23.817574,1.8441223,0,22.13,0,673.1,0
IND,India,Puducherry,Puducherry,Predominantly Urban,813014,5,40,23.828596,1.8452023,0,22.14,0,673.5,0
IND,India,Tamil Nadu,Madurai,Predominantly Urban,3252593,5,40,23.854469,1.847738,0,22.17,0,674.42,0
IND,India,Jammu and Kashmir,Doda,Predominantly Rural,496452,5,40,23.938848,1.8560072,0,22.27,0,677.44,0
IND,India,Meghalaya,West Khasi Hills,Predominantly Rural,296514,5,40,23.954262,1.8575177,2.8020219e-4,22.29,0,677.99,0.1
IND,India,Tamil Nadu,Thiruvarur,Predominantly Rural,1441625,5,40,23.955145,1.8576041,0,22.29,0,678.03,0
IND,India,Uttarakhand,Champawat,Predominantly Rural,285978,5,40,23.998154,1.8618191,3.7558344e-5,22.34,0,679.56,0.01
IND,India,Tamil Nadu,Dindigul,Predominantly Rural,2272798,5,40,23.999199,1.8619214,0,22.34,0,679.6,0
IND,India,Tamil Nadu,Virudhunagar,Predominantly Urban,2051510,5,40,24.131636,1.8749003,0,22.5,0,684.34,0
IND,India,Tamil Nadu,Viluppuram,Predominantly Rural,3961663,5,40,24.295534,1.8909624,0,22.69,0,690.2,0
IND,India,Nagaland,Kohima,Predominantly Urban,249234,5,40,24.296352,1.8910425,0,22.69,0,690.23,0
IND,India,Jammu and Kashmir,Ramban,Predominantly Rural,269159,5,40,24.398544,1.9010574,0,22.81,0,693.89,0
IND,India,Daman and Diu,Diu,Predominantly Urban,47615,5,40,24.500875,1.9110858,0,22.93,0,697.55,0
IND,India,Tamil Nadu,Thanjavur,Predominantly Rural,2503264,5,40,24.587713,1.919596,0,23.04,0,700.65,0
IND,India,Karnataka,Kolar,Predominantly Rural,1668100,5,40,24.671974,1.9278535,0,23.13,0,703.67,0
IND,India,Jammu and Kashmir,Anantnag,Predominantly Rural,1171748,5,40,24.724705,1.9330211,0,23.2,0,705.55,0
IND,India,Andhra Pradesh,Sri Potti Sriramulu Nellore,Predominantly Rural,3102921,5,40,24.729671,1.9335078,0,23.2,0,705.73,0
IND,India,Himachal Pradesh,Mandi,Predominantly Rural,1043392,5,40,24.786129,1.9390405,0,23.27,0,707.75,0
IND,India,Tamil Nadu,Vellore,Predominantly Urban,4139247,5,40,24.826178,1.9429655,0,23.32,0,709.18,0
IND,India,Himachal Pradesh,Chamba,Predominantly Rural,539130,5,40,24.827017,1.9430476,0,23.32,0,709.21,0
IND,India,Uttarakhand,Bageshwar,Predominantly Rural,272944,5,40,24.869928,1.947253,0,23.37,0,710.75,0
IND,India,Himachal Pradesh,Shimla,Predominantly Rural,871860,5,40,24.946419,1.954749,0,23.46,0,713.48,0
IND,India,Karnataka,Chitradurga,Predominantly Rural,1775766,5,40,25.047899,1.9646941,0,23.58,0,717.11,0
IND,India,Assam,Sonitpur,Predominantly Rural,2130267,5,40,25.101616,1.9699584,0,23.64,0,719.03,0
IND,India,Gujarat,Junagadh,Predominantly Rural,2381694,5,40,25.13802,1.9735259,0,23.68,0,720.34,0
IND,India,Nagaland,Mon,Predominantly Rural,255642,5,40,25.154224,1.975114,0,23.7,0,720.92,0
IND,India,Uttarakhand,Chamoli,Predominantly Rural,463462,5,40,25.302923,1.9896865,0,23.88,0,726.24,0
IND,India,Tamil Nadu,Krishnagiri,Predominantly Rural,1993063,5,40,25.399237,1.9991252,0,23.99,0,729.68,0
IND,India,Meghalaya,East Khasi Hills,Predominantly Urban,963565,5,40,25.417641,2.0009289,0.018057441,24.01,0.22,730.34,6.59
IND,India,Maharashtra,Sindhudurg,Predominantly Rural,913090,5,40,25.450874,2.0041857,0,24.05,0,731.53,0
IND,India,Manipur,Senapati,Predominantly Rural,492660,5,40,25.528042,2.0117481,0,24.14,0,734.29,0
IND,India,Nagaland,Longleng,Predominantly Rural,51314,5,40,25.662277,2.0249031,0,24.3,0,739.09,0
IND,India,Karnataka,Gadag,Predominantly Rural,1136787,5,40,25.692774,2.0278919,0,24.33,0,740.18,0
IND,India,Tamil Nadu,Tiruvannamalai,Predominantly Rural,2612005,5,40,25.871244,2.0453818,0,24.54,0,746.56,0
IND,India,Goa,South Goa,Predominantly Urban,656170,5,40,25.931633,2.0513,0,24.62,0,748.72,0
IND,India,Andhra Pradesh,Prakasam,Predominantly Rural,3513296,5,40,25.978371,2.0558803,0,24.67,0,750.4,0
IND,India,Jammu and Kashmir,Udhampur,Predominantly Rural,643221,5,40,26.090347,2.066854,0,24.8,0,754.4,0
IND,India,Gujarat,Porbandar,Predominantly Urban,657279,5,40,26.157616,2.0734463,0,24.88,0,756.81,0
IND,India,Jammu and Kashmir,Kupwara,Predominantly Rural,973849,5,40,26.16062,2.0737407,0,24.88,0,756.92,0
IND,India,Jammu and Kashmir,Pulwama,Predominantly Rural,692269,5,40,26.172695,2.0749242,0,24.9,0,757.35,0
IND,India,Nagaland,Mokokchung,Predominantly Rural,186249,5,40,26.198307,2.0774341,0,24.93,0,758.26,0
IND,India,Goa,North Goa,Predominantly Urban,830799,5,40,26.287296,2.0861549,0,25.03,0,761.45,0
IND,India,Maharashtra,Ratnagiri,Predominantly Rural,1732857,5,40,26.414473,2.0986185,0,25.18,0,766,0
IND,India,Jammu and Kashmir,Kulgam,Predominantly Rural,517702,5,40,26.453871,2.1024795,0,25.23,0,767.41,0
IND,India,Karnataka,Tumakuru,Predominantly Rural,2874051,5,40,26.489115,2.1059332,0,25.27,0,768.67,0
IND,India,Karnataka,Bangalore Rural,Predominantly Rural,1093122,5,40,26.628395,2.1195827,0,25.43,0,773.65,0
IND,India,Tamil Nadu,Tiruchirappalli,Predominantly Urban,2884727,5,40,26.700815,2.1266799,0,25.52,0,776.24,0
IND,India,Karnataka,Ramanagara,Predominantly Rural,1146230,5,40,26.834539,2.1397848,0,25.68,0,781.02,0
IND,India,Meghalaya,South West Khasi Hills,Predominantly Rural,158885,5,40,26.880911,2.1443293,0.076704912,25.73,0.92,782.68,28
IND,India,Gujarat,Devbhumi Dwarka,Predominantly Rural,761703,5,40,26.889999,2.14522,0,25.74,0,783.01,0
IND,India,Himachal Pradesh,Kangra,Predominantly Rural,1600762,5,40,26.941452,2.1502621,8.1744604e-4,25.8,0.01,784.85,0.3
IND,India,Tamil Nadu,Dharmapuri,Predominantly Rural,1599582,5,40,26.949644,2.1510651,0,25.81,0,785.14,0
IND,India,Karnataka,Mandya,Predominantly Rural,1928718,5,40,27.028011,2.1587451,0,25.9,0,787.94,0
IND,India,Odisha,Gajapati,Predominantly Rural,634830,5,40,27.03907,2.1598289,0,25.92,0,788.34,0
IND,India,Uttarakhand,Rudraprayag,Predominantly Rural,148140,5,40,27.045547,2.1604636,0,25.93,0,788.57,0
IND,India,Jammu and Kashmir,Shupiyan,Predominantly Rural,472891,5,40,27.058197,2.1617033,0,25.94,0,789.02,0
IND,India,Tamil Nadu,Tiruppur,Predominantly Urban,2979782,5,40,27.290045,2.1844244,0,26.21,0,797.31,0
IND,India,Jammu and Kashmir,Reasi,Predominantly Rural,317908,5,40,27.312086,2.1865845,0,26.24,0,798.1,0
IND,India,Assam,Sivasagar,Predominantly Rural,1272891,5,40,27.35887,2.1911693,0,26.29,0,799.78,0
IND,India,Telangana,Nagarkurnool,Predominantly Urban,926091,5,40,27.431135,2.1982512,0,26.38,0,802.36,0
IND,India,Uttarakhand,Uttarkashi,Predominantly Rural,370070,5,40,27.487749,2.2037995,0,26.45,0,804.39,0
IND,India,Gujarat,Kachchh,Predominantly Rural,2295891,5,40,27.527321,2.2076776,0,26.49,0,805.8,0
IND,India,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Predominantly Urban,408138,5,40,27.536552,2.2085822,0,26.5,0,806.13,0
IND,India,Andhra Pradesh,Y.S.R.,Predominantly Rural,3006259,5,40,27.558313,2.2107146,0,26.53,0,806.91,0
IND,India,Maharashtra,Palghar,Predominantly Rural,2575103,5,40,27.632906,2.2180247,0,26.62,0,809.58,0
IND,India,Tamil Nadu,Karur,Predominantly Urban,1130586,5,40,27.706535,2.2252405,0,26.7,0,812.21,0
IND,India,Gujarat,Amreli,Predominantly Rural,1148774,5,40,27.759493,2.2304301,0,26.77,0,814.11,0
IND,India,Assam,Jorhat,Predominantly Rural,1184395,5,40,27.872356,2.2414908,0,26.9,0,818.14,0
IND,India,Tamil Nadu,Salem,Predominantly Urban,3816512,5,40,27.922543,2.2464092,0,26.96,0,819.94,0
IND,India,Karnataka,Chikballapur,Predominantly Rural,1346750,5,40,28.00948,2.2549291,0,27.06,0,823.05,0
IND,India,Telangana,Mahabubnagar,Predominantly Rural,1542559,5,40,28.26494,2.2799642,0,27.36,0,832.19,0
IND,India,Gujarat,Dang,Predominantly Rural,237689,5,40,28.408266,2.2940102000000002,0,27.53,0,837.31,0
IND,India,Karnataka,Ballari,Predominantly Rural,2613980,5,40,28.411535,2.2943304,0,27.53,0,837.43,0
IND,India,Nagaland,Wokha,Predominantly Rural,157530,5,40,28.419411,2.2951024,0,27.54,0,837.71,0
IND,India,Jammu and Kashmir,Rajouri,Predominantly Rural,735852,5,40,28.43895,2.2970171,0,27.56,0,838.41,0
IND,India,Gujarat,Valsad,Predominantly Rural,1902674,5,40,28.538567,2.3067796,0,27.68,0,841.97,0
IND,India,Assam,Golaghat,Predominantly Rural,1149896,5,40,28.556917,2.308578,0,27.7,0,842.63,0
IND,India,Manipur,Chandel,Predominantly Rural,162606,5,40,28.687414,2.3213665,0,27.86,0,847.3,0
IND,India,Tamil Nadu,Kancheepuram,Predominantly Urban,3558472,5,40,28.700375,2.3226368,0,27.87,0,847.76,0
IND,India,Karnataka,Bidar,Predominantly Rural,1818344,5,40,28.711138,2.3236914,0,27.88,0,848.15,0
IND,India,Andhra Pradesh,Kurnool,Predominantly Rural,4218285,5,40,28.722071,2.3247628,0,27.9,0,848.54,0
IND,India,Karnataka,Belgaum,Predominantly Rural,5101356,5,40,28.78672,2.3310986,0,27.97,0,850.85,0
IND,India,Uttarakhand,Tehri Garhwal,Predominantly Rural,692332,5,40,28.789795,2.3313999,0,27.98,0,850.96,0
IND,India,Mizoram,Champhai,Predominantly Rural,139439,5,40,28.973541,2.349407,0,28.19,0,857.53,0
IND,India,Jammu and Kashmir,Srinagar,Predominantly Urban,1404241,5,40,29.032784,2.3552127,0,28.26,0,859.65,0
IND,India,Karnataka,Bagalkot,Predominantly Rural,2024898,5,40,29.053513,2.3572443,0,28.29,0,860.39,0
IND,India,Daman and Diu,Daman,Predominantly Urban,251425,5,40,29.070133,2.3588731,0,28.31,0,860.99,0
IND,India,Manipur,Tamenglong,Predominantly Rural,150310,5,40,29.082605,2.3600953,0,28.32,0,861.43,0
IND,India,Telangana,Vikarabad,Predominantly Rural,928679,5,40,29.212263,2.3728018,0,28.47,0,866.07,0
IND,India,Tamil Nadu,Erode,Predominantly Urban,2237513,5,40,29.229734,2.3745139,0,28.49,0,866.7,0
IND,India,Meghalaya,Jaintia Hills,Predominantly Rural,458346,5,40,29.244402,2.3759515,0.0037212742,28.51,0.04,867.22,1.36
IND,India,Assam,Udalguri,Predominantly Rural,846964,5,40,29.333698,2.3847024,0,28.62,0,870.42,0
IND,India,Tamil Nadu,Thiruvallur,Predominantly Urban,4023165,5,40,29.383646,2.3895974,0,28.68,0,872.2,0
IND,India,Karnataka,Koppal,Predominantly Rural,1490780,5,40,29.400576,2.3912563,0,28.7,0,872.81,0
IND,India,Manipur,Churachandpur,Predominantly Rural,306014,5,40,29.473143,2.3983681,0,28.78,0,875.4,0
IND,India,Andhra Pradesh,Visakhapatnam,Predominantly Urban,4454507,5,40,29.494835,2.4004939,0,28.81,0,876.18,0
IND,India,Andhra Pradesh,Anantapur,Predominantly Rural,4247937,5,40,29.495592,2.400568,0,28.81,0,876.21,0
IND,India,Puducherry,Yanam,Predominantly Urban,11106,5,40,29.501198,2.4011173,0,28.81,0,876.41,0
IND,India,Jammu and Kashmir,Baramulla,Predominantly Rural,1003183,5,40,29.580046,2.4088445,0,28.91,0,879.23,0
IND,India,Himachal Pradesh,Hamirpur,Predominantly Rural,476446,5,40,29.601023,2.4109001,0,28.93,0,879.98,0
IND,India,Nagaland,Peren,Predominantly Rural,83296,5,40,29.642979,2.4150119,0,28.98,0,881.48,0
IND,India,Gujarat,Rajkot,Predominantly Urban,3385897,5,40,29.64543,2.415252,0,28.98,0,881.57,0
IND,India,Andhra Pradesh,Guntur,Predominantly Rural,4957362,5,40,29.82136,2.4324932,0,29.19,0,887.86,0
IND,India,Jammu and Kashmir,Poonch,Predominantly Rural,522929,5,40,29.854418,2.4357331,0,29.23,0,889.04,0
IND,India,Telangana,Bhadradri Kothagudem,Predominantly Rural,1090727,5,40,29.868172,2.4370809,0,29.24,0,889.53,0
IND,India,Karnataka,Yadgir,Predominantly Rural,1243230,5,40,29.926035,2.4427514,0,29.31,0,891.6,0
IND,India,Tamil Nadu,Chennai,Predominantly Urban,5728166,5,40,29.960291,2.4461086,0,29.35,0,892.83,0
IND,India,Jammu and Kashmir,Badgam,Predominantly Rural,602997,5,40,30.033459,2.453279,0,29.44,0,895.45,0
IND,India,Karnataka,Vijaypura,Predominantly Rural,2307853,5,40,30.170706,2.4667292,0,29.6,0,900.36,0
IND,India,Telangana,Wanaparthy,Predominantly Rural,532004,5,40,30.175146,2.4671643,0,29.61,0,900.51,0
IND,India,Sikkim,North Sikkim,Predominantly Rural,45569,5,40,30.263269,2.4758003,0.0011129277,29.71,0.01,903.67,0.41
IND,India,Odisha,Kandhamal,Predominantly Rural,776459,5,40,30.298372,2.4792404,0.0061578555,29.75,0.07,904.92,2.25
IND,India,Andhra Pradesh,Krishna,Predominantly Urban,4662238,5,40,30.301487,2.4795458,0,29.75,0,905.03,0
IND,India,Gujarat,Jamnagar,Predominantly Urban,1633586,5,40,30.371725,2.48642899999999,0,29.84,0,907.55,0
IND,India,Telangana,Jogulamba Gadwal,Predominantly Rural,669981,5,40,30.439217,2.4930434,0,29.92,0,909.96,0
IND,India,Telangana,Khammam,Predominantly Rural,1507496,5,40,30.462931,2.4953673,0,29.94,0,910.81,0
IND,India,Karnataka,Kalaburagi,Predominantly Rural,2759954,5,40,30.531857,2.5021219,0,30.03,0,913.27,0
IND,India,Tamil Nadu,Namakkal,Predominantly Urban,2061215,5,40,30.790598,2.5274787,0,30.33,0,922.53,0
IND,India,Telangana,Mahabubabad,Predominantly Urban,596427,5,40,30.822712,2.5306258,0,30.37,0,923.68,0
IND,India,Gujarat,Morbi,Predominantly Rural,1118186,5,40,30.880133,2.536253,0,30.44,0,925.73,0
IND,India,Odisha,Malkangiri,Predominantly Rural,645056,5,40,30.887909,2.5370152,0,30.44,0,926.01,0
IND,India,Andhra Pradesh,Srikakulam,Predominantly Rural,2779873,5,40,30.898228,2.5380263,0,30.46,0,926.38,0
IND,India,Andhra Pradesh,East Godavari,Predominantly Rural,5570653,5,40,31.047583,2.5526631,0,30.63,0,931.72,0
IND,India,Uttarakhand,Pauri Garhwal,Predominantly Rural,873319,5,40,31.109982,2.5587783,0.024303412,30.71,0.29,933.95,8.87
IND,India,Karnataka,Raichur,Predominantly Rural,2070618,5,40,31.350637,2.5823624,0,30.99,0,942.56,0
IND,India,Assam,Karbi Anglong,Predominantly Rural,1038130,5,40,31.593994,2.6062114,0,31.27,0,951.27,0
IND,India,Assam,Baksa,Predominantly Rural,1018615,5,40,31.673687,2.6140213,0,31.37,0,954.12,0
IND,India,Andhra Pradesh,West Godavari,Predominantly Rural,4153561,5,40,31.686878,2.615314,0,31.38,0,954.59,0
IND,India,Chhattisgarh,Sukma,Predominantly Rural,308720,5,40,31.930777,2.6392162,0,31.67,0,963.31,0
IND,India,Jammu and Kashmir,Kathua,Predominantly Rural,763436,5,40,31.994194,2.645431,0.0020498445,31.75,0.02,965.58,0.75
IND,India,Gujarat,Surendranagar,Predominantly Rural,1593735,5,40,32.115894,2.6573577,7.1274524e-4,31.89,0.01,969.94,0.26
IND,India,Telangana,Siddipet,Predominantly Rural,1062699,5,40,32.136642,2.6593909,0,31.91,0,970.68,0
IND,India,Telangana,Sangareddy,Predominantly Rural,1540139,5,40,32.157543,2.6614394,0,31.94,0,971.43,0
IND,India,Odisha,Ganjam,Predominantly Rural,3730168,5,40,32.176323,2.6632798,4.1321193e-5,31.96,0,972.1,0.02
IND,India,Nagaland,Dimapur,Predominantly Urban,380330,5,40,32.240555,2.6695745,0,32.03,0,974.39,0
IND,India,Himachal Pradesh,Bilaspur,Predominantly Rural,392257,5,40,32.320946,2.6774528,0.003896222,32.13,0.05,977.27,1.42
IND,India,Telangana,Jangaon,Predominantly Rural,492768,5,40,32.330784,2.6784167,0,32.14,0,977.62,0
IND,India,Andhra Pradesh,Vizianagaram,Predominantly Rural,2440389,5,40,32.388584,2.6840813,0,32.21,0,979.69,0
IND,India,Himachal Pradesh,Solan,Predominantly Rural,629917,5,40,32.600048,2.7048047,0.0065411502,32.46,0.08,987.25,2.39
IND,India,Odisha,Rayagada,Predominantly Rural,1042416,5,40,32.681393,2.7127767,0.0044947602,32.55,0.05,990.16,1.64
IND,India,Maharashtra,Osmanabad,Predominantly Rural,1772832,5,40,32.715706,2.7161391,0,32.59,0,991.39,0
