state_ut,city,district,district_option2,other_1,comments
Maharashtra,Amravati,Amravati,,,
Maharashtra,Aurangabad,Aurangabad,,,
Maharashtra,Badlapur,Thane,,,
Maharashtra,Chandrapur,Chandrapur,,,
Maharashtra,Jalgaon,Jalgaon,,,
Maharashtra,Jalna,Jalna,,,
Maharashtra,Kolhapur,Kolhapur,,,
Maharashtra,Latur,Latur,,,
Maharashtra,Mumbai,Mumbai Suburban,,,"I am assuming that ""Mumbai"" is ""Mumbai Suburban"" and ""Navi Mumbai"" is ""Mumbai City""."
Maharashtra,Nagpur,Nagpur,,,
Maharashtra,Nashik,Nashik,,,
Maharashtra,Navi Mumbai,Mumbai City,,,
Maharashtra,Pune,Pune,,,
Maharashtra,Sangli,Sangli,,,
Maharashtra,Solapur,Solapur,,,
Maharashtra,Thane,Thane,,,
Maharashtra,Ulhasnagar,Thane,,,
Meghalaya,Byrnihat,Ri Bhoi,,,
Nagaland,Dimapur,Dimapur,,,
Nagaland,Kohima,Kohima,,,
Odisha,Angul,Anugul,,,
Odisha,Balasore,Baleshwar,,,
Odisha,Bhubneshwar,Khordha,,,
Odisha,Cuttack,Cuttack,,,
Odisha,Kalinga Nagar,Jajapur,,,
Odisha,Rourkela,Sundargarh,,,
Odisha,Talcher,Anugul,,,
Punjab,Amritsar,Amritsar,,,
Punjab,Dera Bassi,Chandigarh,,,
Punjab,Gobindgarh,Fatehgarh Sahib,,,
Punjab,Jalandhar,Jalandhar,,,
Punjab,Khanna,Ludhiana,,,
Punjab,Ludhiana,Ludhiana,,,
Punjab,Naya Nangal,Rupnagar,,,
Punjab,Pathankot/Dera Baba,Pathankot,,,"Is Dera Baba, another name for Pathankot?"
Punjab,Patiala,Patiala,,,
Rajasthan,Alwar,Alwar,,,
Rajasthan,Jaipur,Jaipur,,,
Rajasthan,Jodhpur,Jodhpur,,,
Rajasthan,Kota,Kota,,,
Rajasthan,Udaipur,Udaipur,,,
Tamil Nadu,Trichy,Tiruchirappalli,,,
Tamil Nadu,Tuticorin,Thoothukudi,,,
Tamil Nadu,Madurai,Madurai,,,
Telangana,Hyderabad,Hyderabad,,,
Telangana,Nalgonda,Nalgonda,,,
Telangana,Patancheru,Sangareddy,,,
Telangana,Sangareddy,Sangareddy,,,
Uttar Pradesh,Agra,Agra,,,
Uttar Pradesh,Allahabad,Prayagraj,,,
Uttar Pradesh,Anpara,Sonbhadra,,,
Uttar Pradesh,Bareily,Bareilly,,,
Uttar Pradesh,Firozabad,Firozabad,,,
Uttar Pradesh,Gajraula,Amroha,,,
Uttar Pradesh,Ghaziabad,Ghaziabad,,,
Uttar Pradesh,Gorakhpur,Gorakhpur,,,
Uttar Pradesh,Jhansi,Jhansi,,,
Uttar Pradesh,Kanpur,Kanpur Dehat,,,"There is also a Kanpur Nagar in Uttar Pradesh, but I have not taken that."
Uttar Pradesh,Khurja,Bulandshahr,,,
Uttar Pradesh,Lucknow,Lucknow,,,
Uttar Pradesh,Moradabad,Moradabad,,,
Uttar Pradesh,Noida,Gautam Buddha Nagar,,,
Uttar Pradesh,Raebareli,Rae Bareli,,,
Uttar Pradesh,Varanasi,Varanasi,,,
Uttarakhand,Dehradun,Dehradun,,,
Uttarakhand,Kashipur,Udham Singh Nagar,,,
Uttarakhand,Rishikesh,Dehradun,,,
West Bengal,Asansol,Barddhaman,,,"This lies in Paschim Bardhaman, but we only have Bardhaman in our color file. Bardhaman in and itself refers to Purba Bardhaman, but for now I have categorized these under Bardhaman."
West Bengal,Barrackpore,North 24 Parganas,,,
West Bengal,Durgapur,Barddhaman,,,"This lies in Paschim Bardhaman, but we only have Bardhaman in our color file. Bardhaman in and itself refers to Purba Bardhaman, but for now I have categorized these under Bardhaman."
West Bengal,Haldia,Barddhaman,,,"This lies in Paschim Bardhaman, but we only have Bardhaman in our color file. Bardhaman in and itself refers to Purba Bardhaman, but for now I have categorized these under Bardhaman."
West Bengal,Howrah,Howrah,,,
West Bengal,Kolkata,Kolkata,,,
Gujarat,rajkot,Rajkot,,,
Jharkhand,jamshedpur,Purbi Singhbhum,,,
Jharkhand,ranchi,Ranchi,,,
Madhya Pradesh,jabalpur,Jabalpur,,,
Maharashtra,vasai-virar,Palghar,,,
Tamil Nadu,chennai,Chennai,,,
Uttar Pradesh,meerut,Meerut,,,
Haryana,faridabad,Faridabad,,,
