Country,PM2.5 concentration 2021 (in µg/m³),National Standard (in µg/m³),Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the WHO Guideline of 5 µg/m³,Life Expectancy Gains from reducing PM2.5 from 2021 Concentrations to the National Standard
Portugal,6.3,25,0.1,0
Puerto Rico,2.9,*,0,*
Qatar,30,*,2.5,*
Republic of the Congo,32.4,*,2.7,*
Romania,15,25,1,0
Russia,11.3,25,0.6,0
Rwanda,32.4,*,2.7,*
Réunion,3,*,0,*
"Saint Helena, Ascension and Tris",2.8,*,0,*
Saint Kitts and Nevis,3.1,*,0,*
Saint Lucia,2.4,*,0,*
Saint Pierre and Miquelon,3.9,*,0,*
Saint Vincent and the Grenadines,2.6,*,0,*
Saint-Barthélemy,2.4,*,0,*
Saint-Martin,2.2,*,0,*
Samoa,1.2,*,0,*
San Marino,10.9,*,0.6,*
Saudi Arabia,25,15,2,1
Senegal,5.7,*,0.1,*
Serbia,20.2,25,1.5,0
Seychelles,5,*,0,*
Sierra Leone,11.6,*,0.7,*
Singapore,13,*,0.8,*
Sint Maarten,2.5,*,0,*
Slovakia,14.5,25,0.9,0
Slovenia,13.4,25,0.8,0
Solomon Islands,5.8,*,0.1,*
Somalia,9.2,*,0.4,*
South Africa,21.1,20,1.6,0.1
South Georgia and the South Sand,*,*,*,*
South Korea,20.4,15,1.5,0.5
South Sudan,16,*,1.1,*
Spain,7.5,25,0.2,0
Spratly Islands,0,*,0,*
Sri Lanka,18.8,15,1.4,0.4
Sudan,11.4,*,0.6,*
Suriname,6.4,*,0.1,*
Svalbard and Jan Mayen,*,*,*,*
Swaziland,15.9,*,1.1,*
Sweden,5.5,25,0,0
Switzerland,9.4,10,0.4,0
Syria,19.7,*,1.4,*
São Tomé and Príncipe,11.1,*,0.6,*
Taiwan,16.2,*,1.1,*
Tajikistan,16.7,*,1.1,*
Tanzania,16.4,*,1.1,*
Thailand,23.2,15,1.8,0.8
Timor-Leste,10.5,*,0.5,*
Togo,15.4,*,1,*
Tokelau,1.4,*,0,*
Tonga,1.8,*,0,*
Trinidad and Tobago,4,15,0,0
Tunisia,8.6,*,0.3,*
Turkey,21.8,*,1.6,*
Turkmenistan,10.4,*,0.5,*
Turks and Caicos Islands,3.4,*,0,*
Tuvalu,1.3,*,0,*
Uganda,26.7,*,2.1,*
Ukraine,14.6,25,0.9,0
United Arab Emirates,16.8,*,1.2,*
United Kingdom,8.7,25,0.4,0
United States,7.8,12,0.3,0
United States Minor Outlying Islands,3,*,0,*
Uruguay,8.4,*,0.3,*
Uzbekistan,20,*,1.5,*
Vanuatu,4.4,*,0,*
Vatican City,11.3,*,0.6,*
Venezuela,10.8,*,0.6,*
Vietnam,25.8,25,2,0.1
"Virgin Islands, U.S.",2.2,*,0,*
Wallis and Futuna,1.3,*,0,*
Western Sahara,4.8,*,0,*
Yemen,14.8,*,1,*
Zambia,18.5,*,1.3,*
Zimbabwe,14.4,*,0.9,*
Åland,4.8,*,0,*
